Observable,Value,ID,Time
Act. receptor conc. Amount 1,2.6088440748477244,359,20
Act. receptor conc. Amount 1,2.9739868049835154,360,25
Act. receptor conc. Amount 1,0.4744162467992345,361,1
Act. receptor conc. Amount 1,1.6015099945068372,362,5
Act. receptor conc. Amount 1,2.474863242888272,363,10
Act. receptor conc. Amount 1,2.7213470149119487,364,15
Act. receptor conc. Amount 1,2.538595726902495,365,20
Act. receptor conc. Amount 1,2.701311490490719,366,25
Act. receptor conc. Amount 1,0.38284558594714435,367,1
Act. receptor conc. Amount 1,1.6725923975556594,368,5
Act. receptor conc. Amount 1,2.106166749047722,369,10
Act. receptor conc. Amount 1,2.499096907720759,370,15
Act. receptor conc. Amount 1,2.8757289924082983,371,20
Act. receptor conc. Amount 1,2.859131365692545,372,25
Act. receptor conc. Amount 1,0.39363710135768576,373,1
Act. receptor conc. Amount 1,1.536567579464404,374,5
Act. receptor conc. Amount 1,2.271520303168402,375,10
Act. receptor conc. Amount 1,2.595099624480066,376,15
Act. receptor conc. Amount 1,2.7256520373539153,377,20
Act. receptor conc. Amount 1,2.757215218541989,378,25
Act. receptor conc. Amount 1,0.3934141864805903,379,1
Act. receptor conc. Amount 1,1.4384698806720302,380,5
Act. receptor conc. Amount 1,2.0845616738206774,381,10
Act. receptor conc. Amount 1,2.347329595188784,382,15
Act. receptor conc. Amount 1,2.6610504703193736,383,20
Act. receptor conc. Amount 1,2.720382496162685,384,25
Act. receptor conc. Amount 1,0.44320100458754413,385,1
Act. receptor conc. Amount 1,1.5931774802672523,386,5
Act. receptor conc. Amount 1,2.2011308285140534,387,10
Act. receptor conc. Amount 1,2.688352355147899,388,15
Act. receptor conc. Amount 1,2.6550390618803807,389,20
Act. receptor conc. Amount 1,3.028555984826124,390,25
Act. receptor conc. Amount 1,0.42064035101611424,391,1
Act. receptor conc. Amount 1,1.665647931350179,392,5
Act. receptor conc. Amount 1,2.350356276817171,393,10
Act. receptor conc. Amount 1,3.016053858051585,394,15
Act. receptor conc. Amount 1,2.8570163024897615,395,20
Act. receptor conc. Amount 1,3.1471486302503604,396,25
Act. receptor conc. Amount 1,0.4334754855206185,397,1
Act. receptor conc. Amount 1,1.660002512913061,398,5
Act. receptor conc. Amount 1,2.2474337431917877,399,10
Act. receptor conc. Amount 1,2.614979361196559,400,15
Act. receptor conc. Amount 1,2.87919464066068,401,20
Act. receptor conc. Amount 1,2.48980341615947,402,25
Act. receptor conc. Amount 1,0.38375567890646384,403,1
Act. receptor conc. Amount 1,1.6644598274780822,404,5
Act. receptor conc. Amount 1,2.2197082724447994,405,10
Act. receptor conc. Amount 1,2.813855254802998,406,15
Act. receptor conc. Amount 1,2.9155521230792054,407,20
Act. receptor conc. Amount 1,2.591595854310485,408,25
Act. receptor conc. Amount 1,0.4477542066114511,409,1
Act. receptor conc. Amount 1,1.7334891441900222,410,5
Act. receptor conc. Amount 1,2.253735379878585,411,10
Act. receptor conc. Amount 1,2.4484215542157157,412,15
Act. receptor conc. Amount 1,2.5729141725346847,413,20
Act. receptor conc. Amount 1,2.8389012489822867,414,25
Act. receptor conc. Amount 1,0.4259486409810533,415,1
Act. receptor conc. Amount 1,1.7439843207111114,416,5
Act. receptor conc. Amount 1,2.422187993909329,417,10
Act. receptor conc. Amount 1,2.574788495767068,418,15
Act. receptor conc. Amount 1,2.446274203560218,419,20
Act. receptor conc. Amount 1,2.9796646343271465,420,25
Act. receptor conc. Amount 1,0.4270428790420157,421,1
Act. receptor conc. Amount 1,1.530923942121859,422,5
Act. receptor conc. Amount 1,2.420696179943601,423,10
Act. receptor conc. Amount 1,2.532144226684326,424,15
Act. receptor conc. Amount 1,2.8331363652199455,425,20
Act. receptor conc. Amount 1,2.8784263162271944,426,25
Act. receptor conc. Amount 1,0.39183501556796696,427,1
Act. receptor conc. Amount 1,1.489272562102047,428,5
Act. receptor conc. Amount 1,2.5448480825913014,429,10
Act. receptor conc. Amount 1,2.7106402989089893,430,15
Act. receptor conc. Amount 1,2.8907018799591153,431,20
Act. receptor conc. Amount 1,2.7716509516316026,432,25
Act. receptor conc. Amount 1,0.4174042422616766,433,1
Act. receptor conc. Amount 1,1.7280281030616087,434,5
Act. receptor conc. Amount 1,2.561112606518293,435,10
Act. receptor conc. Amount 1,2.5947600459306583,436,15
Act. receptor conc. Amount 1,2.632675074964395,437,20
Act. receptor conc. Amount 1,2.8473516911283987,438,25
Act. receptor conc. Amount 1,0.40894297850313543,439,1
Act. receptor conc. Amount 1,1.5759927770365645,440,5
Act. receptor conc. Amount 1,2.469071965738444,441,10
Act. receptor conc. Amount 1,2.4398809407427757,442,15
Act. receptor conc. Amount 1,2.6681446904970345,443,20
Act. receptor conc. Amount 1,3.421330408989269,444,25
Act. receptor conc. Amount 1,0.4063371741322589,445,1
Act. receptor conc. Amount 1,1.6043936543998532,446,5
Act. receptor conc. Amount 1,2.232462996150109,447,10
Act. receptor conc. Amount 1,2.6015203452228475,448,15
Act. receptor conc. Amount 1,2.9824171041023306,449,20
Act. receptor conc. Amount 1,2.9439328030988747,450,25
Act. receptor conc. Amount 1,0.412494104938978,451,1
Act. receptor conc. Amount 1,1.6233160124319044,452,5
Act. receptor conc. Amount 1,2.535786535948432,453,10
Act. receptor conc. Amount 1,2.712959740744811,454,15
Act. receptor conc. Amount 1,2.8186263836216323,455,20
Act. receptor conc. Amount 1,2.7766361758424076,456,25
Act. receptor conc. Amount 1,0.4306825370195063,457,1
Act. receptor conc. Amount 1,1.4665142141964276,458,5
Act. receptor conc. Amount 1,2.2224115447512305,459,10
Act. receptor conc. Amount 1,2.5479719201087896,460,15
Act. receptor conc. Amount 1,2.9999094370557424,461,20
Act. receptor conc. Amount 1,3.0276845252988855,462,25
Act. receptor conc. Amount 1,0.44304730222622296,463,1
Act. receptor conc. Amount 1,1.6791962686652275,464,5
Act. receptor conc. Amount 1,2.229544147211893,465,10
Act. receptor conc. Amount 1,2.478459898259431,466,15
Act. receptor conc. Amount 1,2.8150122098101713,467,20
Act. receptor conc. Amount 1,2.4883683246311596,468,25
Act. receptor conc. Amount 1,0.4274059027631921,469,1
Act. receptor conc. Amount 1,1.5122298400772223,470,5
Act. receptor conc. Amount 1,2.120283253721122,471,10
Act. receptor conc. Amount 1,2.551518744799862,472,15
Act. receptor conc. Amount 1,2.9634238691471153,473,20
Act. receptor conc. Amount 1,2.2749479296297155,474,25
Act. receptor conc. Amount 1,0.4227102452634674,475,1
Act. receptor conc. Amount 1,1.4524578522204,476,5
Act. receptor conc. Amount 1,2.4307335805340244,477,10
Act. receptor conc. Amount 1,2.4848855723519776,478,15
Act. receptor conc. Amount 1,2.7632757431634776,479,20
Act. receptor conc. Amount 1,2.7262181793058042,480,25
Act. receptor conc. Amount 1,0.40494816206730233,481,1
Act. receptor conc. Amount 1,1.7367739452785358,482,5
Act. receptor conc. Amount 1,2.2584807744705473,483,10
Act. receptor conc. Amount 1,2.6901935700286783,484,15
Act. receptor conc. Amount 1,2.7510633732611693,485,20
Act. receptor conc. Amount 1,2.8682507057292996,486,25
Act. receptor conc. Amount 1,0.41232470243238073,487,1
Act. receptor conc. Amount 1,1.5368075953938058,488,5
Act. receptor conc. Amount 1,2.3526408012366646,489,10
